Date,State/Province,Number
9/27/2024,AR,1
10/2/2024,CT,3
9/14/2024,CT,7
9/22/2024,FL,28
9/22/2024,FL,21
8/29/2024,FL,30
10/3/2024,IA,2
9/27/2024,IA,3
9/26/2024,IA,25
9/26/2024,IA,3
9/25/2024,IA,5
9/24/2024,IA,6
9/23/2024,IA,10
9/22/2024,IA,2
9/21/2024,IA,20
9/20/2024,IA,14
9/19/2024,IA,20
9/19/2024,IA,30
9/17/2024,IA,17
9/17/2024,IA,9
9/14/2024,IA,40
9/14/2024,IA,40
9/11/2024,IA,10
9/11/2024,IA,100
9/11/2024,IA,16
10/5/2024,IL,6
9/26/2024,IL,1
9/20/2024,IL,3
9/19/2024,IL,2
9/17/2024,IL,7
9/16/2024,IL,1
9/15/2024,IL,3
9/15/2024,IL,15
9/14/2024,IL,1
9/11/2024,IL,1
9/10/2024,IL,1000
9/8/2024,IL,1
9/5/2024,IL,1
9/2/2024,IL,7
10/4/2024,IN,1
10/3/2024,IN,35
10/1/2024,IN,24
9/20/2024,IN,1
9/19/2024,IN,1
9/18/2024,IN,5
9/18/2024,IN,1
9/15/2024,IN,4
9/12/2024,IN,1
9/11/2024,IN,1
9/8/2024,IN,1
10/5/2024,KS,8
10/3/2024,KS,4
9/27/2024,KS,10
9/27/2024,KS,10
9/26/2024,KS,50
9/25/2024,KS,28
9/24/2024,KS,200
9/24/2024,KS,37
9/23/2024,KS,16
9/23/2024,KS,5
9/21/2024,KS,2
9/18/2024,KS,9
9/17/2024,KS,5
8/3/2024,KS,1
9/5/2024,KY,1
9/5/2024,KY,1
8/30/2024,MA,2
8/23/2024,MA,1
8/23/2024,MA,2
8/22/2024,MA,2
8/21/2024,MA,1
8/13/2024,MA,3
9/12/2024,MB,1
9/21/2024,MI,100
9/21/2024,MI,100
9/21/2024,MI,3
9/19/2024,MI,4
9/12/2024,MI,36
9/11/2024,MI,2
9/10/2024,MI,1
9/9/2024,MI,100
9/7/2024,MI,100
9/5/2024,MI,5
9/1/2024,MI,100
9/1/2024,MI,150
8/23/2024,MI,1
8/18/2024,MI,150
9/23/2024,MN,1
9/23/2024,MN,13
9/23/2024,MN,17
9/22/2024,MN,3
9/22/2024,MN,3
9/21/2024,MN,17
9/21/2024,MN,40
9/21/2024,MN,24
9/20/2024,MN,100
9/20/2024,MN,27
9/19/2024,MN,15
9/19/2024,MN,20
9/17/2024,MN,37
9/17/2024,MN,16
10/5/2024,MO,2
10/4/2024,MO,5
10/3/2024,MO,1
10/2/2024,MO,1
9/26/2024,MO,3
9/19/2024,MO,4
9/18/2024,NB,1
9/8/2024,NB,4
9/24/2024,NC,30
9/8/2024,NC,1
8/16/2024,NC,1
9/12/2024,ND,30
9/21/2024,NE,1000
9/20/2024,NE,18
9/14/2024,NE,75
9/13/2024,NE,4
9/11/2024,NE,15
10/4/2024,NH,2
8/13/2024,NJ,1
9/23/2024,NY,1
9/10/2024,NY,6
9/4/2024,NY,1
9/3/2024,NY,1
8/28/2024,NY,19
8/26/2024,NY,10
9/24/2024,OH,204
9/15/2024,OH,1
10/4/2024,OK,20
10/3/2024,OK,1
10/2/2024,OK,13
10/1/2024,OK,50
10/1/2024,OK,6
9/30/2024,OK,10
9/29/2024,OK,1
9/27/2024,OK,100
9/27/2024,OK,100
9/27/2024,OK,10
9/26/2024,OK,4
9/25/2024,OK,50
10/5/2024,ON,1
10/3/2024,ON,676
10/3/2024,ON,12
10/2/2024,ON,1
10/1/2024,ON,2
10/1/2024,ON,2
9/30/2024,ON,1
9/29/2024,ON,59
9/27/2024,ON,1
9/26/2024,ON,60
9/26/2024,ON,20
9/21/2024,ON,1
9/20/2024,ON,20
9/20/2024,ON,12
9/19/2024,ON,57
9/17/2024,ON,41
9/14/2024,ON,12
9/14/2024,ON,100
9/13/2024,ON,246
9/9/2024,ON,8
9/4/2024,ON,1
9/4/2024,ON,10
9/2/2024,ON,14
8/31/2024,ON,2
8/28/2024,ON,1
8/21/2024,ON,30
10/2/2024,SC,100
9/19/2024,SC,10
9/17/2024,SC,180
9/10/2024,SC,5
9/10/2024,SC,2
9/23/2024,TN,1
9/16/2024,TN,1
9/16/2024,TN,1
9/6/2024,TN,1
9/5/2024,TN,6
9/4/2024,TN,3
9/3/2024,TN,4
9/2/2024,TN,5
10/5/2024,TX,50
10/4/2024,TX,28
10/4/2024,TX,50
10/4/2024,TX,50
10/3/2024,TX,200
10/3/2024,TX,80
10/2/2024,TX,8
10/2/2024,TX,32
10/1/2024,TX,10
10/1/2024,TX,3
10/1/2024,TX,10
10/1/2024,TX,12
9/30/2024,TX,10
9/30/2024,TX,50
9/30/2024,TX,30
9/30/2024,TX,6
9/30/2024,TX,50
9/30/2024,TX,75
9/29/2024,TX,100
9/29/2024,TX,3
9/29/2024,TX,26
9/28/2024,TX,1
9/27/2024,TX,6
9/23/2024,TX,1
9/27/2024,UT,1
8/24/2024,VT,15
10/2/2024,WI,1
9/26/2024,WI,10
9/21/2024,WI,100
9/20/2024,WI,18
9/20/2024,WI,40
9/17/2024,WI,8
9/17/2024,WI,15
9/16/2024,WI,8
9/12/2024,WI,8
