State,Pesticide Name,Concentration
AL,Dicamba,68
AR,MGK-264,0.005
AZ,Metolachlor oxanilic acid (OA),100
CA,Desethyl-desisopropyl atrazine,600.3227273
CO,Hydroxy atrazine,72.7
CT,Imidacloprid,10
DC,Metolachlor ethanesulfonic acid (ESA),186.4130435
DE,Metolachlor ethanesulfonic acid (ESA),26.3
FL,Bromacil,786.5053684
GA,Alachlor ethanesulfonic acid (ESA),479.4
HI,Desethyl atrazine,28
IA,Diuron,183
ID,Bromacil,367.5
IL,Metolachlor ethanesulfonic acid (ESA),389.9633508
IN,Metolachlor ethanesulfonic acid (ESA),460.451
KS,Atrazine,282.9811881
KY,Atrazine,148.3241379
LA,Metribuzin,1879.803235
MA,Desethyl atrazine,2.5
MD,Acetochlor,635
ME,Metolachlor ethanesulfonic acid (ESA),84
MI,Atrazine,163.3057148
MN,Desethyl-desisopropyl atrazine,174
MO,Hydroxy atrazine,596.686747
MS,Metolachlor ethanesulfonic acid (ESA),5
MT,Picloram,36.94714286
NC,Thiobencarb,190
ND,Acetochlor,73.30967742
NE,Metolachlor ethanesulfonic acid (ESA),1547.495946
NH,Imazapyr,882
NJ,Phenothrin,45
NY,Metolachlor ethanesulfonic acid (ESA),227.2752976
OH,Acetochlor oxanilic acid (OA),407.002649
OK,Picloram,20.8
OR,Bentazon,290
PA,Metolachlor ethanesulfonic acid (ESA),1249.236792
RI,Imidacloprid,25
SC,Alachlor ethanesulfonic acid (ESA),915.2857143
SD,Alachlor ethanesulfonic acid (ESA),295.6
TN,Atrazine,260.6329949
TX,Alachlor,122
UT,Alachlor ethanesulfonic acid (ESA),169.25
VA,Triticonazole,832
WA,Desethyl-desisopropyl atrazine,44.5
WI,Alachlor ethanesulfonic acid (ESA),214.9993103
WV,Carbaryl,0.0005
WY,Bromacil,972
